close,open,high,low,volume,negative,neutral,positive,compound
1119.54,1083,1135.33,1080.5,12887738,0.0,1.0,0.0,0.0
1494.1,1659,1794.99,1471.1101,37309610,0.0,1.0,0.0,0.0
1024.974,991.88,1027.48,982.5,17023324,0.0,0.943,0.057,0.2732
1371,1276.69,1377.79,1266.044,18885360,0.0,1.0,0.0,0.0
1119.54,1083,1135.33,1080.5,12887738,0.046,0.771,0.182,0.7425
1494.1,1659,1794.99,1471.1101,37309610,0.0,1.0,0.0,0.0
1001.66,998.88,1012,994.0101,6015204,0.0,0.933,0.067,0.3182
985.98,954.27,985.98,937.15,8834648,0.0,0.955,0.045,0.296
881.4,894.7,908.66,871,13049927,0.0,0.854,0.146,0.4404
709.755,698.97,741.88,692.43,57451900,0.106,0.629,0.265,0.4648
985.98,954.27,985.98,937.15,8834648,0.137,0.863,0.0,-0.6249
1516.385,1556,1590,1431,21744713,0.0,1.0,0.0,0.0
864.27,889.88,895.75,858.44,8667226,0.0,1.0,0.0,0.0
732.15,703.98,733.89,688.71,38252230,0.0,1.0,0.0,0.0
1001.66,998.88,1012,994.0101,6015204,0.0,1.0,0.0,0.0
1546.01,1396,1548.915,1376.0101,22730537,0.0,0.663,0.337,0.9409
1119.54,1083,1135.33,1080.5,12887738,0.0,1.0,0.0,0.0
1389.69,1405.01,1429.5,1336.71,20456393,0.229,0.771,0.0,-0.6652
1000.57,1012.78,1015.9699,991.34,7941809,0.0,1.0,0.0,0.0
1004.02,1003,1019.2,994.4708,18626163,0.0,0.854,0.146,0.4404
1546.875,1543,1550,1457,15414147,0.0,1.0,0.0,0.0
1365.8054,1405,1417.26,1311.34,15747236,0.099,0.901,0.0,-0.34
1208.8,1221.48,1228,1185.6,15501212,0.179,0.821,0.0,-0.34
1208.8,1221.48,1228,1185.6,15501212,0.0,1.0,0.0,0.0
819.25,793.77,824,787.01,31166079,0.0,0.801,0.199,0.6661
994.54,999.95,1008.88,990.02,6108565,0.0,0.784,0.216,0.5267
1365.8054,1405,1417.26,1311.34,15747236,0.0,1.0,0.0,0.0
1079,1006.5,1087.69,1003.73,16212153,0.0,0.854,0.146,0.34
1371,1276.69,1377.79,1266.044,18885360,0.0,0.885,0.115,0.296
650.9899,591,652,580.53,21175579,0.057,0.68,0.263,0.7739
1389.69,1405.01,1429.5,1336.71,20456393,0.0,0.883,0.117,0.5106
1079,1006.5,1087.69,1003.73,16212153,0.0,0.672,0.328,0.8306
864.27,889.88,895.75,858.44,8667226,0.066,0.719,0.216,0.6124
1000.57,1012.78,1015.9699,991.34,7941809,0.0,0.838,0.162,0.4391
1546.01,1396,1548.915,1376.0101,22730537,0.0,1.0,0.0,0.0
1079,1006.5,1087.69,1003.73,16212153,0.0,0.739,0.261,0.7125
990.75,917.79,998.84,908.5,14933856,0.0,0.8,0.2,0.4576
798.92,737.61,799.49,735,58450139,0.0,1.0,0.0,0.0
1001.66,998.88,1012,994.0101,6015204,0.0,1.0,0.0,0.0
1546.875,1543,1550,1457,15414147,0.0,0.888,0.112,0.6361
1009.89,969.01,1010,948.5201,8732336,0.0,1.0,0.0,0.0
1546.01,1396,1548.915,1376.0101,22730537,0.0,0.868,0.132,0.4404
985.98,954.27,985.98,937.15,8834648,0.0,0.844,0.156,0.5719
981.51,1011.85,1012.88,962.39,26814330,0.0,0.854,0.146,0.4404
948.45,919,950,909.16,26318875,0.0,0.84,0.16,0.2732
1516.385,1556,1590,1431,21744713,0.045,0.697,0.257,0.8733
686.72,730.12,753.33,673.79,58529442,0.0,1.0,0.0,0.0
798.92,737.61,799.49,735,58450139,0.063,0.937,0.0,-0.4278
